"W1"	"W2"	"W3"
"747"	-0.62	0.67	0.95
"748"	-0.62	0.68	0.94
"749"	-0.62	0.69	0.93
"750"	-0.62	0.7	0.92
"751"	-0.62	0.71	0.91
"752"	-0.62	0.72	0.9
"753"	-0.62	0.73	0.89
"754"	-0.62	0.74	0.88
"755"	-0.62	0.75	0.87
"756"	-0.62	0.76	0.86
"757"	-0.62	0.77	0.85
"758"	-0.62	0.78	0.84
"759"	-0.62	0.79	0.83
"760"	-0.62	0.8	0.82
"761"	-0.62	0.81	0.81
"762"	-0.62	0.82	0.8
"763"	-0.62	0.83	0.79
"764"	-0.62	0.84	0.78
"765"	-0.62	0.85	0.77
"766"	-0.62	0.86	0.76
"767"	-0.62	0.87	0.75
"768"	-0.62	0.88	0.74
"769"	-0.62	0.89	0.73
"770"	-0.62	0.9	0.72
"771"	-0.62	0.91	0.71
"772"	-0.62	0.92	0.7
"773"	-0.62	0.93	0.69
"774"	-0.62	0.94	0.68
"775"	-0.62	0.95	0.67
"776"	-0.62	0.96	0.66
"777"	-0.62	0.97	0.65
"778"	-0.62	0.98	0.64
"779"	-0.62	0.99	0.63
"780"	-0.62	1	0.62
"781"	-0.61	0.61	1
"782"	-0.61	0.62	0.99
"783"	-0.61	0.63	0.98
"784"	-0.61	0.64	0.97
"785"	-0.61	0.65	0.96
"786"	-0.61	0.66	0.95
"787"	-0.61	0.67	0.94
"788"	-0.61	0.68	0.93
"789"	-0.61	0.69	0.92
"790"	-0.61	0.7	0.91
"791"	-0.61	0.71	0.9
"792"	-0.61	0.72	0.89
"793"	-0.61	0.73	0.88
"794"	-0.61	0.74	0.87
"795"	-0.61	0.75	0.86
"796"	-0.61	0.76	0.85
"797"	-0.61	0.77	0.84
"798"	-0.61	0.78	0.83
"799"	-0.61	0.79	0.82
"800"	-0.61	0.8	0.81
"801"	-0.61	0.81	0.8
"802"	-0.61	0.82	0.79
"803"	-0.61	0.83	0.78
"804"	-0.61	0.84	0.77
"805"	-0.61	0.85	0.76
"806"	-0.61	0.86	0.75
"807"	-0.61	0.87	0.74
"808"	-0.61	0.88	0.73
"809"	-0.61	0.89	0.72
"810"	-0.61	0.9	0.71
"811"	-0.61	0.91	0.7
"812"	-0.61	0.92	0.69
"813"	-0.61	0.93	0.68
"814"	-0.61	0.94	0.67
"815"	-0.61	0.95	0.66
"816"	-0.61	0.96	0.65
"817"	-0.61	0.97	0.64
"818"	-0.61	0.98	0.63
"819"	-0.61	0.99	0.62
"820"	-0.61	1	0.61
"821"	-0.6	0.6	1
"822"	-0.6	0.61	0.99
"823"	-0.6	0.62	0.98
"824"	-0.6	0.63	0.97
"825"	-0.6	0.64	0.96
"826"	-0.6	0.65	0.95
"827"	-0.6	0.66	0.94
